progress,content,system,wait
0,喂⋯豅暔⋯攷喂？,1,1
1,喂？,0,1
2,哈醽囉？你⋯屮邰⋯聽得到⋯偆渿嗎？,1,1
3,聽得到。請問你是？,0,1
4,等我跈一下，我到訊號崺梉好一點的地崺梉方。,1,3
5,這樣有比較清楚嗎？,1,1
6,呃，有。,0,1
7,咳咳，好，我知道你現在可能有點錯愕，畢竟在這麼突然的情況下接到一通陌生人的電話。\n\n不過這件事真的很緊急，因為這關係到你們上面的人的生命安全。,1,2
8,上面的人？,0,1
9,啊對，我都忘記自我介紹了。我叫丹尼斯．漢森，是地下實驗室的工作人員。,1,1
10,地下實驗室？,0,1
11,如果我定位沒失誤的話，你現在應該在國立台灣大學裡面吧？,1,1
12,是這樣沒錯。,0,1
13,大好了，接下來我要說一件你可能會嚇一跳的事，請做好心理準備。因為這件事一直是各國的國家機密，但後來發生了一些事情，使我們不得不向上面的人們求救，你準備好了嗎？,1,2
14,雖然不太懂，但請說吧，漢森先生。,0,1
15,你會懂的，還有，叫我丹尼斯就好了。,1,1
16,呃，好，丹尼斯。,0,1
17,很好，那我開始了。我是███實驗室的工作人員，而這個實驗室就位於國立台灣大學的地下4500公尺處，涵蓋範圍與你們校總區大致相同。\n\n這個實驗室成立於1987年，而我是在1990年時被聘請過來的。我們主要在做的事呢⋯這稍微有點難解釋，但總之就是在地下進行一些██的探勘，以及██的傳輸、████等。\n\n在我工作的第9年，也就是1999年時，發生了████事件等事情，使我們不得不破壞電力系統，但這會導致實驗室在20年後崩毀，當然座落於實驗室之上的國立台灣大學也會因此沉於地底。\n\n如果實驗室儀器沒壞的話，今年應該是2019年吧？,1,6
18,是2019年沒錯。,0,1
19,那就對了，崩毀已悄悄開始，其實實驗室的某些部分已經坍方，而現在這塊土地的地層也已經有點不穩定，什麼時候會完全崩毀不知道，但絕對不會晚於今年。怎麼樣，有嚇一跳嗎？,1,3
20,有是有，應該說，與其說是嚇一跳，不如說是有聽沒有懂⋯,0,1
21,你會懂的\n\n噢，對不起，因為我現在很緊張，所以有時語氣可能會有點重，請原諒我。\n\n你是政府高官嗎？還是你家裡有政商關係很好的人嗎？因為這件事需要政治上的協助。啊！如果有誰認識美國或俄羅斯總統就更好了，雖然我不知道現在坐在那些位子上的是誰，不過他們聽到後一定會幫助我們的吧！,1,3
22,那個，漢森先生，不對，丹尼斯，不好意思，我不是什麼政府高官，也不認識你說的那些人，我只是一個小小的學生而已。,0,2
23,學生？\n\n這樣啊⋯\n\n那可能就無法請你幫忙了，畢竟這或許是個艱難的任務，單憑你是絕對無法完成的。好吧，不好意思打擾了。\n\n唉，這通電話打了好幾年，好不容易通了，接的卻只是個學生，看來這之後電話也不會再通了，就讓實驗室這樣崩潰吧，畢竟這也只是為了███的██而已，我們⋯,1,3
24,等等！丹尼斯！我⋯覺得啊，你說的那些事情，對我們學生來說也是很嚴重的事情對吧？我當然不希望自己的學校沉入地底，雖然到現在也還不是完全相信，不過或許在我能力可及的範圍之下，能夠做點什麼⋯吧。,0,2
25,唉，謝謝你啊，不過這件事情可不是有心就能辦到的，畢竟很多東西的操作需要權限，沒有權限就什麼事也做不了。若是美國或俄羅斯總統，應該就都有那種權限卡，但一般平民百姓是不可能⋯,1,2
26,你說卡嗎？我這裡就有一張□色的卡喔！上面還有□□□□呢！,0,1
27,你說什麼！？,1,1
28,我說我有一張□色的卡啊！,0,1
29,你仔細看看卡的上面/背面，是不是有寫著□□□□/是不是有一個□□□□？,1,1
30,有啊！,0,1
31,你⋯怎⋯你為什麼會有那張卡？,1,1
32,我也不知道欸，總之就是有了。,0,1
33,你⋯算了，或許你就是那個天選之人也說不定，總之你手上的那張卡是最高權限的卡，一般只有世界的最高統治者才會有，雖然不知道你的卡是怎麼來的，但若你真的幫得上忙，這件事也不重要了。那麼，你準備好拯救台大了嗎？,1,0
34,玩家訊息,0,1
35,很好，那我們開始了。你有什麼事情想問的嗎？,1,1
36,其實想問的事情很多，但有一件事情我特別在意，為什麼有時候會聽不清楚你在講什麼，就好像⋯就好像每次講到某個特定的字時訊號就會被擾亂一樣。,0,2
37,你是說像這樣嗎？██████。,1,1
38,對！,0,1
39,這是實驗室的屏蔽系統，是為了防止有人洩密而設置的，只要說到一些涉及機密的關鍵字時，屏蔽系統就會啟用，對訊號發生干擾，所以才會聽不清楚。\n\n不過這應該不影響這次的任務，所以也不用特別去理會它。還有什麼問題嗎？,1,3
40,暫時沒有了。,0,1
41,那我們開始吧。首先你需要啟動台大的自我保護系統，這可以對校園下方的地層稍作加強，可能可以防止崩塌，或至少減少崩塌造成的損傷。\n\n這個自我保護系統是台大的第█任校長███自己設置的，所以詳細的構造我們也不清楚，只知道應該由持有最高權限卡的人來開啟這個系統，現在既然你擁有這張卡，只好麻煩你去啟動它了！\n\n系統的啟動裝置在台大的舊圖書館，只要用卡感應裝置就好了，但我們實驗室人員皆從未去過，你趕緊去那裏替我們瞧一瞧吧！,1,0
